Crop Type,Nitrogen (N),Phosphorus (P),Potassium (K),Soil pH,Soil Type,Target Fertilizer
Cotton,65,39,41,6.8,Loamy,NPK 10-26-26
Wheat,34,23,12,6.8,Clayey,NPK 20-20-0
Sugarcane,107,47,81,7.9,Silty,DAP
Wheat,22,22,30,7.0,Clayey,NPK 10-26-26
Maize,69,49,34,5.7,Clayey,DAP
Cotton,44,32,33,8.5,Clayey,NPK 10-26-26
Maize,75,37,28,5.8,Silty,NPK 10-26-26
Wheat,30,14,28,4.7,Loamy,NPK 15-15-15
Rice,55,34,10,7.9,Clayey,Urea
Wheat,26,24,18,7.1,Loamy,NPK 15-15-15
Maize,53,45,30,6.0,Clayey,DAP
Wheat,34,18,12,7.9,Sandy,NPK 15-15-15
Wheat,48,30,11,8.2,Loamy,Urea
Wheat,48,26,14,7.2,Silty,Urea
Maize,68,44,36,4.7,Loamy,NPK 10-26-26
Cotton,60,36,39,5.5,Loamy,NPK 10-26-26
Cotton,57,32,32,7.8,Loamy,NPK 10-26-26
Sugarcane,118,58,64,4.6,Clayey,DAP
Rice,43,32,13,6.5,Loamy,NPK 15-15-15
Maize,68,41,29,6.4,Loamy,NPK 10-26-26
Rice,59,27,21,7.6,Loamy,NPK 10-26-26
Rice,38,30,22,6.8,Sandy,NPK 10-26-26
Maize,62,36,36,7.7,Sandy,NPK 10-26-26
Maize,67,40,29,4.8,Clayey,NPK 10-26-26
Rice,44,27,19,8.2,Silty,NPK 10-26-26
Sugarcane,120,56,85,6.2,Sandy,DAP
Maize,66,45,22,6.4,Clayey,DAP
Maize,74,43,36,6.4,Silty,NPK 10-26-26
Rice,42,20,23,8.0,Loamy,NPK 15-15-15
Cotton,68,32,46,6.1,Loamy,NPK 10-26-26
Maize,63,35,25,4.7,Sandy,NPK 10-26-26
Wheat,43,19,27,5.7,Clayey,NPK 10-26-26
Sugarcane,115,59,99,6.6,Loamy,DAP
Cotton,45,39,46,7.7,Silty,NPK 10-26-26
Cotton,45,26,38,5.5,Loamy,NPK 10-26-26
Cotton,63,34,44,5.2,Loamy,NPK 10-26-26
Wheat,37,12,10,8.5,Clayey,NPK 15-15-15
Wheat,32,27,24,8.2,Silty,NPK 10-26-26
Rice,35,33,16,6.7,Silty,NPK 15-15-15
Sugarcane,117,51,98,8.2,Loamy,DAP
Sugarcane,105,50,90,6.3,Loamy,DAP
Cotton,47,36,40,6.9,Sandy,NPK 10-26-26
Sugarcane,81,59,95,6.7,Sandy,DAP
Cotton,60,39,36,4.8,Sandy,NPK 10-26-26
Rice,38,24,13,8.4,Loamy,NPK 15-15-15
Wheat,28,25,26,7.8,Clayey,NPK 10-26-26
Sugarcane,89,57,92,8.0,Sandy,DAP
Wheat,44,15,21,7.4,Clayey,NPK 15-15-15
Wheat,35,32,28,5.9,Silty,NPK 10-26-26
Maize,80,32,37,7.9,Sandy,NPK 10-26-26
Sugarcane,118,47,68,7.7,Silty,DAP
Rice,45,38,19,7.6,Silty,DAP
Rice,38,22,27,8.1,Silty,NPK 10-26-26
Wheat,26,36,21,6.9,Clayey,NPK 10-26-26
Rice,32,39,12,8.4,Sandy,DAP
Maize,65,33,33,7.1,Silty,NPK 10-26-26
Maize,79,46,31,7.0,Silty,DAP
Wheat,27,38,15,6.2,Clayey,DAP
Maize,64,40,29,7.2,Sandy,NPK 10-26-26
Wheat,21,16,18,4.9,Silty,NPK 15-15-15
Maize,80,31,33,5.4,Sandy,NPK 10-26-26
Sugarcane,95,53,87,5.2,Clayey,DAP
Wheat,39,16,14,7.7,Clayey,NPK 15-15-15
Cotton,47,35,48,4.6,Silty,NPK 10-26-26
Maize,80,40,40,4.9,Loamy,NPK 10-26-26
Rice,41,37,10,4.5,Loamy,DAP
Rice,52,34,28,6.8,Loamy,NPK 10-26-26
Rice,54,25,28,8.5,Silty,NPK 10-26-26
Cotton,64,21,45,7.1,Loamy,NPK 10-26-26
Maize,68,48,35,8.2,Sandy,DAP
Sugarcane,81,57,70,7.3,Silty,DAP
Cotton,47,27,30,8.4,Loamy,NPK 10-26-26
Rice,54,35,10,7.4,Clayey,Urea
Sugarcane,110,58,92,6.6,Loamy,DAP
Cotton,49,29,35,8.4,Sandy,NPK 10-26-26
Cotton,56,22,32,7.7,Loamy,NPK 10-26-26
Wheat,46,14,22,6.4,Clayey,Urea
Rice,48,35,11,7.4,Sandy,Urea
Sugarcane,93,43,80,5.4,Silty,NPK 10-26-26
Maize,55,43,36,6.7,Loamy,NPK 10-26-26
Cotton,69,31,43,7.5,Clayey,NPK 10-26-26
Sugarcane,112,53,76,6.8,Sandy,DAP
Sugarcane,92,42,84,5.9,Clayey,NPK 10-26-26
Sugarcane,119,53,90,8.4,Sandy,DAP
Rice,34,28,14,8.2,Clayey,NPK 15-15-15
Sugarcane,114,54,65,5.5,Clayey,DAP
Rice,41,22,22,4.5,Clayey,NPK 10-26-26
Cotton,46,27,44,7.0,Clayey,NPK 10-26-26
Sugarcane,93,49,79,5.7,Loamy,DAP
Wheat,23,10,21,4.6,Silty,NPK 15-15-15
Maize,58,50,33,5.2,Sandy,DAP
Maize,75,32,20,7.5,Silty,NPK 10-26-26
Maize,51,41,37,8.2,Clayey,NPK 10-26-26
Rice,32,37,16,7.4,Clayey,DAP
Rice,51,28,26,8.4,Silty,NPK 10-26-26
Wheat,47,20,13,7.6,Clayey,Urea
Wheat,43,32,29,5.7,Loamy,NPK 10-26-26
Sugarcane,117,53,94,7.0,Sandy,DAP
Sugarcane,113,56,88,5.8,Clayey,DAP
Wheat,46,40,13,8.0,Loamy,DAP
Maize,51,49,31,5.4,Sandy,DAP
Wheat,49,18,21,7.3,Clayey,Urea
Sugarcane,114,43,85,8.5,Silty,NPK 10-26-26
Wheat,32,15,28,6.4,Loamy,NPK 15-15-15
Maize,73,43,22,5.8,Silty,DAP
Sugarcane,114,60,62,4.7,Clayey,DAP
Cotton,43,24,37,7.9,Silty,NPK 10-26-26
Wheat,37,12,24,8.3,Silty,NPK 15-15-15
Wheat,27,27,30,5.9,Sandy,NPK 10-26-26
Maize,53,42,23,7.8,Silty,DAP
Rice,50,35,18,6.8,Silty,Urea
Cotton,57,31,46,6.2,Clayey,NPK 10-26-26
Sugarcane,100,45,94,6.8,Sandy,DAP
Cotton,43,26,45,4.9,Loamy,NPK 10-26-26
Maize,58,35,33,5.3,Silty,NPK 10-26-26
Maize,50,46,32,4.7,Silty,DAP
Maize,76,36,39,7.7,Silty,NPK 10-26-26
Cotton,69,20,30,5.0,Silty,NPK 10-26-26
Rice,55,32,21,5.5,Silty,NPK 10-26-26
Wheat,24,33,28,4.5,Silty,NPK 10-26-26
Sugarcane,86,52,91,7.9,Clayey,DAP
Rice,57,37,10,7.7,Sandy,Urea
Maize,80,37,34,6.2,Loamy,NPK 10-26-26
Wheat,47,16,25,6.3,Loamy,Urea
Rice,43,23,24,8.4,Clayey,NPK 10-26-26
Sugarcane,98,57,71,6.9,Clayey,DAP
Maize,54,32,29,6.5,Sandy,NPK 10-26-26
Rice,53,25,29,7.7,Sandy,NPK 10-26-26
Cotton,66,33,37,8.0,Clayey,NPK 10-26-26
Wheat,38,38,12,4.7,Loamy,DAP
Maize,60,40,31,4.8,Silty,NPK 10-26-26
Cotton,45,35,49,6.8,Clayey,NPK 10-26-26
Cotton,40,38,47,4.9,Sandy,NPK 10-26-26
Maize,80,37,30,7.8,Silty,NPK 10-26-26
Sugarcane,97,47,73,7.6,Silty,DAP
Sugarcane,95,41,95,5.5,Clayey,NPK 10-26-26
Cotton,60,23,31,7.9,Loamy,NPK 10-26-26
Rice,40,21,23,4.9,Loamy,NPK 10-26-26
Maize,59,31,33,5.7,Silty,NPK 10-26-26
Cotton,41,27,34,5.8,Loamy,NPK 10-26-26
Rice,49,34,10,7.2,Silty,Urea
Maize,53,33,31,5.7,Sandy,NPK 10-26-26
Sugarcane,91,58,60,8.5,Silty,DAP
Sugarcane,99,42,82,6.2,Clayey,NPK 10-26-26
Sugarcane,118,47,87,6.9,Clayey,DAP
Wheat,37,12,10,4.9,Loamy,NPK 15-15-15
Cotton,44,26,47,5.3,Silty,NPK 10-26-26
Rice,56,34,27,8.0,Sandy,NPK 10-26-26
Maize,61,44,29,6.7,Silty,NPK 10-26-26
Wheat,50,10,29,6.5,Clayey,Urea
Cotton,69,39,50,6.2,Loamy,NPK 10-26-26
Sugarcane,104,52,79,8.2,Loamy,DAP
Rice,45,22,10,8.1,Loamy,Urea
Maize,72,32,35,6.9,Sandy,NPK 10-26-26
Sugarcane,86,43,100,7.7,Sandy,NPK 10-26-26
Sugarcane,81,45,82,7.9,Loamy,DAP
Wheat,26,15,17,7.2,Loamy,NPK 15-15-15
Wheat,22,35,10,4.8,Clayey,DAP
Cotton,52,24,36,5.0,Clayey,NPK 10-26-26
Sugarcane,85,46,74,5.8,Silty,DAP
Cotton,59,39,40,5.4,Silty,NPK 10-26-26
Rice,59,32,17,8.4,Clayey,Urea
Wheat,43,25,18,7.4,Sandy,NPK 15-15-15
Wheat,28,27,24,5.4,Loamy,NPK 10-26-26
Rice,31,33,26,8.1,Silty,NPK 10-26-26
Maize,80,34,24,7.6,Sandy,NPK 10-26-26
Wheat,49,17,10,8.4,Clayey,Urea
Maize,52,43,20,7.2,Sandy,DAP
Wheat,36,40,25,5.0,Sandy,NPK 10-26-26
Sugarcane,87,43,93,5.2,Clayey,NPK 10-26-26
Wheat,50,11,30,7.3,Silty,Urea
Rice,50,29,22,8.1,Sandy,NPK 10-26-26
Rice,51,29,13,5.1,Loamy,Urea
Maize,73,37,40,6.6,Clayey,NPK 10-26-26
Rice,38,33,12,8.5,Loamy,NPK 20-20-0
Rice,47,37,22,8.4,Silty,NPK 10-26-26
Rice,41,31,11,4.9,Clayey,NPK 20-20-0
Wheat,49,24,20,5.2,Loamy,Urea
Maize,65,45,40,8.2,Loamy,DAP
Rice,55,30,22,4.7,Silty,NPK 10-26-26
Rice,49,37,20,8.2,Sandy,NPK 10-26-26
Wheat,49,23,27,5.1,Loamy,NPK 10-26-26
Rice,51,32,14,7.0,Clayey,Urea
Cotton,53,29,36,6.3,Clayey,NPK 10-26-26
Maize,72,32,23,7.5,Silty,NPK 10-26-26
Sugarcane,107,49,83,8.1,Loamy,DAP
Maize,56,34,23,8.1,Silty,NPK 10-26-26
Rice,35,35,19,6.8,Silty,NPK 10-26-26
Wheat,44,21,26,8.5,Silty,NPK 10-26-26
Cotton,55,25,40,5.3,Loamy,NPK 10-26-26
Wheat,26,15,23,8.2,Sandy,NPK 15-15-15
Rice,42,33,19,7.2,Sandy,NPK 10-26-26
Wheat,46,19,17,7.7,Sandy,Urea
Cotton,67,21,31,7.3,Sandy,NPK 10-26-26
Wheat,39,11,23,7.6,Loamy,NPK 15-15-15
Cotton,57,27,42,4.5,Sandy,NPK 10-26-26
Rice,38,22,19,5.9,Loamy,NPK 15-15-15
Sugarcane,111,57,70,7.8,Sandy,DAP
Sugarcane,110,41,73,5.8,Sandy,NPK 10-26-26
Rice,35,23,26,4.9,Clayey,NPK 10-26-26
Rice,35,32,10,6.4,Silty,NPK 20-20-0
Sugarcane,100,44,92,8.4,Loamy,NPK 10-26-26
Wheat,36,31,22,6.4,Sandy,NPK 10-26-26
Sugarcane,98,52,61,8.0,Clayey,DAP
Rice,30,20,19,5.7,Silty,NPK 15-15-15
Rice,31,22,12,8.3,Loamy,NPK 20-20-0
Wheat,46,34,28,7.0,Loamy,NPK 10-26-26
Sugarcane,117,42,73,4.7,Silty,NPK 10-26-26
Rice,50,23,26,8.4,Sandy,NPK 10-26-26
Wheat,39,27,11,5.3,Loamy,NPK 20-20-0
Wheat,44,38,14,8.3,Sandy,DAP
Rice,50,38,18,7.0,Sandy,DAP
Maize,53,46,31,8.1,Clayey,DAP
Sugarcane,87,46,76,7.2,Sandy,DAP
Cotton,63,37,40,7.7,Clayey,NPK 10-26-26
Cotton,43,27,50,7.4,Sandy,NPK 10-26-26
Sugarcane,99,60,69,5.7,Loamy,DAP
Cotton,70,26,37,5.5,Clayey,NPK 10-26-26
Rice,49,34,30,8.1,Loamy,NPK 10-26-26
Wheat,50,17,20,8.2,Loamy,Urea
Sugarcane,99,46,84,6.9,Sandy,DAP
Rice,58,32,30,8.3,Clayey,NPK 10-26-26
Sugarcane,107,51,70,5.6,Clayey,DAP
Maize,55,34,24,5.1,Silty,NPK 10-26-26
Cotton,42,36,42,6.2,Silty,NPK 10-26-26
Sugarcane,88,41,93,7.2,Sandy,NPK 10-26-26
Wheat,42,39,18,6.4,Sandy,DAP
Wheat,39,30,22,7.1,Sandy,NPK 10-26-26
Rice,43,24,16,6.7,Loamy,NPK 15-15-15
Cotton,42,35,42,6.8,Clayey,NPK 10-26-26
Cotton,40,32,47,8.1,Loamy,NPK 10-26-26
Maize,80,50,35,6.3,Sandy,DAP
Maize,62,40,24,6.2,Loamy,NPK 10-26-26
Rice,30,36,11,5.8,Sandy,DAP
Wheat,28,32,18,7.1,Silty,NPK 10-26-26
Maize,67,33,20,8.1,Silty,NPK 10-26-26
Sugarcane,101,57,74,4.5,Silty,DAP
Rice,46,27,24,5.3,Clayey,NPK 10-26-26
Rice,55,32,10,6.2,Sandy,Urea
Wheat,46,18,22,5.4,Clayey,Urea
Sugarcane,100,45,95,6.4,Loamy,DAP
Rice,45,30,30,8.2,Silty,NPK 10-26-26
Rice,42,31,29,8.0,Silty,NPK 10-26-26
Wheat,28,17,17,7.4,Sandy,NPK 15-15-15
Wheat,49,22,12,5.8,Silty,Urea
Maize,53,45,33,6.8,Sandy,DAP
Maize,67,43,21,8.3,Clayey,DAP
Rice,33,23,30,5.9,Silty,NPK 10-26-26
Maize,61,46,28,5.3,Loamy,DAP
Maize,50,37,21,5.6,Loamy,NPK 10-26-26
Cotton,48,37,31,4.9,Clayey,NPK 10-26-26
Cotton,67,31,40,5.3,Silty,NPK 10-26-26
Maize,60,42,31,7.2,Sandy,NPK 10-26-26
Cotton,66,29,34,8.1,Clayey,NPK 10-26-26
Maize,72,38,26,8.5,Sandy,NPK 10-26-26
Sugarcane,94,60,99,7.8,Silty,DAP
Wheat,50,10,30,6.3,Silty,Urea
Cotton,50,29,39,7.3,Silty,NPK 10-26-26
Sugarcane,83,46,98,4.7,Loamy,DAP
Cotton,42,36,45,7.1,Loamy,NPK 10-26-26
Cotton,55,25,37,7.9,Silty,NPK 10-26-26
Cotton,64,20,47,6.6,Clayey,NPK 10-26-26
Wheat,22,32,23,8.2,Silty,NPK 10-26-26
Wheat,22,29,27,6.9,Loamy,NPK 10-26-26
Rice,60,23,25,7.8,Silty,NPK 10-26-26
Maize,75,50,28,7.3,Silty,DAP
Cotton,40,28,39,8.4,Loamy,NPK 10-26-26
Cotton,40,24,44,6.1,Loamy,NPK 10-26-26
Maize,51,49,31,5.1,Clayey,DAP
Sugarcane,106,51,85,6.2,Loamy,DAP
Cotton,41,31,39,6.8,Sandy,NPK 10-26-26
Wheat,23,29,21,6.7,Silty,NPK 10-26-26
Sugarcane,115,55,63,8.0,Clayey,DAP
Wheat,40,16,18,4.9,Silty,NPK 15-15-15
Maize,79,32,31,7.0,Sandy,NPK 10-26-26
Wheat,25,33,26,7.9,Silty,NPK 10-26-26
Sugarcane,81,52,66,7.8,Loamy,DAP
Cotton,54,23,46,7.8,Loamy,NPK 10-26-26
Cotton,67,34,32,6.0,Sandy,NPK 10-26-26
Maize,73,45,39,6.8,Clayey,DAP
Maize,60,40,24,7.9,Silty,NPK 10-26-26
Wheat,29,26,16,6.8,Sandy,NPK 15-15-15
Rice,39,23,11,7.9,Loamy,NPK 20-20-0
Rice,30,24,15,6.9,Clayey,NPK 15-15-15
Sugarcane,103,57,77,8.2,Silty,DAP
Wheat,20,39,13,8.3,Silty,DAP
Maize,74,34,37,5.1,Silty,NPK 10-26-26
Wheat,31,39,13,7.0,Clayey,DAP
Wheat,46,21,10,5.4,Clayey,Urea
Maize,62,37,40,5.8,Loamy,NPK 10-26-26
Maize,67,49,21,5.9,Loamy,DAP
Rice,60,24,20,7.4,Sandy,Urea
Sugarcane,106,51,88,6.1,Sandy,DAP
Cotton,50,32,31,7.8,Clayey,NPK 10-26-26
Maize,50,50,34,7.2,Clayey,DAP
Cotton,41,23,41,5.5,Silty,NPK 10-26-26
Maize,61,48,27,8.4,Sandy,DAP
Wheat,40,33,14,8.1,Clayey,NPK 15-15-15
Sugarcane,108,56,89,8.4,Loamy,DAP
Sugarcane,117,41,94,7.1,Silty,NPK 10-26-26
Cotton,43,20,38,5.5,Clayey,NPK 10-26-26
Wheat,43,29,10,4.9,Sandy,Urea
Maize,67,30,21,4.7,Clayey,NPK 10-26-26
Sugarcane,97,56,97,7.6,Clayey,DAP
Maize,73,32,21,5.2,Loamy,NPK 10-26-26
Rice,51,34,29,6.7,Silty,NPK 10-26-26
Sugarcane,119,45,69,5.5,Clayey,DAP
Cotton,43,39,38,5.4,Clayey,NPK 10-26-26
Wheat,39,30,29,6.7,Loamy,NPK 10-26-26
Cotton,40,24,44,5.7,Sandy,NPK 10-26-26
Rice,52,22,11,8.0,Clayey,Urea
Cotton,48,21,44,6.4,Sandy,NPK 10-26-26
Rice,47,25,29,5.1,Loamy,NPK 10-26-26
Wheat,45,12,22,6.8,Loamy,Urea
Rice,55,26,17,6.8,Clayey,Urea
Cotton,68,23,37,7.8,Loamy,NPK 10-26-26
Sugarcane,84,50,81,6.8,Sandy,DAP
Cotton,64,31,33,8.2,Silty,NPK 10-26-26
Maize,62,50,26,4.9,Sandy,DAP
Sugarcane,89,57,72,8.1,Sandy,DAP
Sugarcane,108,48,74,7.1,Loamy,DAP
Rice,45,34,22,6.5,Sandy,NPK 10-26-26
Wheat,46,33,22,4.6,Sandy,NPK 10-26-26
Sugarcane,96,49,89,7.3,Sandy,DAP
Maize,79,36,28,5.7,Silty,NPK 10-26-26
Wheat,25,15,30,5.7,Clayey,NPK 15-15-15
Cotton,58,29,35,7.0,Loamy,NPK 10-26-26
Wheat,38,29,22,7.5,Silty,NPK 10-26-26
Wheat,26,19,19,6.5,Sandy,NPK 15-15-15
Rice,30,36,25,5.2,Clayey,NPK 10-26-26
Maize,65,34,26,8.1,Sandy,NPK 10-26-26
Sugarcane,93,50,81,7.8,Silty,DAP
Rice,57,27,27,7.8,Loamy,NPK 10-26-26
Wheat,38,40,14,6.9,Silty,DAP
Maize,75,45,21,8.0,Loamy,DAP
Sugarcane,100,52,85,6.3,Sandy,DAP
Sugarcane,117,55,71,8.3,Sandy,DAP
Maize,61,44,23,6.1,Sandy,DAP
Rice,59,28,14,7.7,Sandy,Urea
Maize,54,30,25,7.0,Loamy,NPK 10-26-26
Sugarcane,120,49,74,6.2,Clayey,DAP
Wheat,24,29,19,5.0,Clayey,NPK 10-26-26
Sugarcane,84,47,98,7.3,Loamy,DAP
Wheat,40,29,17,7.6,Clayey,NPK 15-15-15
Rice,56,26,26,6.8,Sandy,NPK 10-26-26
Cotton,45,31,49,8.5,Loamy,NPK 10-26-26
Rice,48,35,21,8.4,Silty,NPK 10-26-26
Rice,42,26,14,5.4,Silty,NPK 15-15-15
Maize,62,30,32,5.6,Silty,NPK 10-26-26
Wheat,23,13,29,7.5,Silty,NPK 15-15-15
Maize,58,40,29,7.9,Sandy,NPK 10-26-26
Sugarcane,103,43,94,8.5,Loamy,NPK 10-26-26
Wheat,36,13,24,6.5,Clayey,NPK 15-15-15
Maize,73,44,31,6.8,Sandy,NPK 10-26-26
Wheat,37,38,17,6.4,Clayey,DAP
Wheat,34,39,16,6.9,Clayey,DAP
Cotton,46,26,49,8.0,Loamy,NPK 10-26-26
Wheat,43,18,11,5.5,Loamy,Urea
Maize,76,46,31,7.9,Sandy,DAP
Rice,40,28,25,5.3,Sandy,NPK 10-26-26
Sugarcane,116,48,92,7.7,Clayey,DAP
Cotton,65,35,47,5.4,Loamy,NPK 10-26-26
Rice,43,38,20,4.9,Clayey,NPK 10-26-26
Sugarcane,102,58,93,6.5,Silty,DAP
Cotton,64,21,39,8.4,Silty,NPK 10-26-26
Maize,60,48,40,4.7,Silty,DAP
Cotton,45,25,33,5.1,Loamy,NPK 10-26-26
Maize,69,42,39,5.3,Clayey,NPK 10-26-26
Rice,47,36,30,6.2,Clayey,NPK 10-26-26
Maize,55,38,20,8.5,Clayey,NPK 10-26-26
Sugarcane,90,49,84,5.5,Clayey,DAP
Cotton,50,34,49,6.6,Silty,NPK 10-26-26
Wheat,27,17,14,8.2,Silty,NPK 15-15-15
Sugarcane,98,42,73,8.3,Silty,NPK 10-26-26
Wheat,23,39,24,7.8,Clayey,NPK 10-26-26
Rice,46,22,25,5.8,Silty,NPK 10-26-26
Cotton,41,34,43,6.2,Silty,NPK 10-26-26
Cotton,62,20,34,5.1,Loamy,NPK 10-26-26
Maize,50,34,28,6.3,Clayey,NPK 10-26-26
Rice,40,39,16,6.2,Silty,DAP
Maize,64,36,39,4.6,Clayey,NPK 10-26-26
Rice,53,29,23,5.2,Clayey,NPK 10-26-26
Maize,79,45,39,6.3,Loamy,DAP
Rice,42,32,11,8.0,Sandy,NPK 20-20-0
Cotton,53,32,48,8.0,Sandy,NPK 10-26-26
Cotton,53,37,43,5.4,Silty,NPK 10-26-26
Sugarcane,85,60,75,7.0,Loamy,DAP
Sugarcane,96,52,90,7.5,Loamy,DAP
Sugarcane,96,45,74,8.4,Loamy,DAP
Rice,50,26,22,8.0,Loamy,NPK 10-26-26
Rice,37,23,16,4.9,Silty,NPK 15-15-15
Rice,43,27,29,7.6,Loamy,NPK 10-26-26
Wheat,41,22,15,5.6,Clayey,NPK 15-15-15
Wheat,20,25,26,7.8,Silty,NPK 10-26-26
Wheat,48,16,26,5.0,Clayey,Urea
Rice,31,37,11,7.8,Sandy,DAP
Sugarcane,111,55,71,6.3,Clayey,DAP
Sugarcane,95,55,80,7.4,Loamy,DAP
Wheat,28,13,19,7.0,Sandy,NPK 15-15-15
Rice,39,28,26,8.2,Clayey,NPK 10-26-26
Maize,76,31,22,7.6,Loamy,NPK 10-26-26
Wheat,37,11,25,6.8,Loamy,NPK 15-15-15
Maize,56,50,38,4.9,Clayey,DAP
Sugarcane,82,48,61,5.4,Silty,DAP
Wheat,40,29,14,5.6,Silty,NPK 15-15-15
Maize,73,49,34,6.5,Clayey,DAP
Wheat,31,40,15,8.2,Loamy,DAP
Maize,63,46,37,6.6,Sandy,DAP
Maize,53,46,36,7.7,Clayey,DAP
Rice,46,38,24,7.3,Sandy,NPK 10-26-26
Maize,68,44,27,5.8,Loamy,NPK 10-26-26
Rice,52,36,30,6.3,Loamy,NPK 10-26-26
Rice,57,35,27,6.4,Sandy,NPK 10-26-26
Maize,58,33,34,8.1,Silty,NPK 10-26-26
Rice,39,27,15,5.5,Loamy,NPK 15-15-15
Sugarcane,105,54,83,5.0,Silty,DAP
Sugarcane,84,49,69,8.2,Clayey,DAP
Rice,51,36,10,6.7,Clayey,Urea
Maize,69,49,21,4.5,Loamy,DAP
Maize,78,31,32,5.2,Clayey,NPK 10-26-26
Rice,50,39,21,7.0,Clayey,NPK 10-26-26
Wheat,36,14,16,8.2,Loamy,NPK 15-15-15
Rice,45,22,27,7.4,Sandy,NPK 10-26-26
Rice,33,28,20,8.4,Loamy,NPK 10-26-26
Wheat,29,29,30,6.6,Sandy,NPK 10-26-26
Maize,57,38,36,5.8,Loamy,NPK 10-26-26
Rice,46,40,22,7.6,Loamy,NPK 10-26-26
Rice,49,25,26,6.4,Loamy,NPK 10-26-26
Sugarcane,90,51,65,8.2,Sandy,DAP
Wheat,24,11,24,8.2,Sandy,NPK 15-15-15
Rice,48,20,20,5.7,Loamy,Urea
Sugarcane,85,50,88,7.2,Clayey,DAP
Sugarcane,88,58,60,7.0,Sandy,DAP
Wheat,31,13,27,4.6,Loamy,NPK 15-15-15
Maize,54,36,26,5.0,Clayey,NPK 10-26-26
Cotton,42,33,43,6.7,Loamy,NPK 10-26-26
Cotton,68,34,44,4.9,Silty,NPK 10-26-26
Sugarcane,92,43,100,5.3,Silty,NPK 10-26-26
Cotton,65,32,36,7.7,Loamy,NPK 10-26-26
Sugarcane,87,44,93,8.3,Silty,NPK 10-26-26
Rice,42,38,11,8.4,Loamy,DAP
Rice,34,29,24,6.9,Silty,NPK 10-26-26
Wheat,23,31,16,7.9,Clayey,NPK 15-15-15
Wheat,37,13,19,5.0,Silty,NPK 15-15-15
Rice,47,33,12,6.8,Clayey,Urea
Maize,51,49,39,7.2,Sandy,DAP
Sugarcane,119,40,88,8.4,Clayey,NPK 10-26-26
Maize,50,48,39,7.9,Clayey,DAP
Sugarcane,110,59,98,6.2,Sandy,DAP
Cotton,70,31,41,8.0,Clayey,NPK 10-26-26
Cotton,48,40,31,6.7,Silty,NPK 10-26-26
Sugarcane,86,51,81,7.0,Silty,DAP
Wheat,38,21,24,8.2,Silty,NPK 10-26-26
Wheat,28,35,21,5.2,Silty,NPK 10-26-26
Maize,66,39,21,6.8,Sandy,NPK 10-26-26
Sugarcane,120,60,85,7.6,Clayey,DAP
Rice,30,40,26,8.1,Clayey,NPK 10-26-26
Rice,47,33,24,4.5,Silty,NPK 10-26-26
Rice,51,31,21,8.5,Loamy,NPK 10-26-26
Wheat,38,13,25,7.1,Silty,NPK 15-15-15
Wheat,39,26,19,7.1,Loamy,NPK 10-26-26
Sugarcane,103,52,71,7.2,Clayey,DAP
Cotton,46,36,42,7.7,Silty,NPK 10-26-26
Rice,31,40,11,5.3,Clayey,DAP
Maize,51,45,31,7.0,Silty,DAP
Maize,67,41,28,5.7,Silty,NPK 10-26-26
Wheat,26,29,21,7.8,Clayey,NPK 10-26-26
Cotton,59,31,42,4.8,Loamy,NPK 10-26-26
Sugarcane,109,40,96,7.6,Silty,NPK 10-26-26
Sugarcane,101,55,70,5.9,Clayey,DAP
Sugarcane,99,51,75,7.9,Loamy,DAP
Maize,54,42,22,8.1,Sandy,DAP
Maize,65,44,27,7.9,Sandy,NPK 10-26-26
Maize,62,32,25,8.2,Loamy,NPK 10-26-26
Sugarcane,89,57,69,6.4,Sandy,DAP
Sugarcane,82,43,83,8.0,Sandy,NPK 10-26-26
Wheat,43,17,25,8.4,Sandy,NPK 15-15-15
Sugarcane,90,47,80,7.3,Sandy,DAP
Wheat,23,34,29,7.4,Silty,NPK 10-26-26
Cotton,64,33,34,7.7,Clayey,NPK 10-26-26
Wheat,25,19,10,4.8,Loamy,NPK 20-20-0
Sugarcane,95,53,83,8.0,Silty,DAP
Maize,68,37,29,8.2,Sandy,NPK 10-26-26
Maize,77,35,32,8.1,Clayey,NPK 10-26-26
Sugarcane,85,54,99,6.6,Clayey,DAP
Rice,38,20,16,5.3,Sandy,NPK 15-15-15
Wheat,48,26,18,5.4,Silty,Urea
Rice,53,21,20,5.3,Sandy,Urea
Maize,53,40,22,7.1,Clayey,NPK 10-26-26
Sugarcane,103,58,96,6.4,Clayey,DAP
Wheat,27,20,18,7.0,Silty,NPK 15-15-15
Cotton,41,35,46,4.6,Clayey,NPK 10-26-26
Wheat,40,20,24,6.3,Sandy,NPK 10-26-26
Sugarcane,81,40,77,5.3,Clayey,NPK 10-26-26
Cotton,69,21,37,6.6,Loamy,NPK 10-26-26
Wheat,41,23,19,5.1,Clayey,NPK 15-15-15
Wheat,26,11,29,4.5,Clayey,NPK 15-15-15
Sugarcane,106,60,91,7.3,Clayey,DAP
Sugarcane,114,56,64,8.0,Loamy,DAP
Maize,51,48,33,7.4,Loamy,DAP
Wheat,26,21,14,4.8,Clayey,NPK 15-15-15
Wheat,43,40,17,8.3,Loamy,DAP
Maize,54,30,28,5.8,Sandy,NPK 10-26-26
Wheat,34,15,11,8.3,Silty,NPK 15-15-15
Rice,53,40,22,5.2,Clayey,NPK 10-26-26
Wheat,23,22,12,7.2,Sandy,NPK 20-20-0
