Nitrogen (N),Phosphorus (P),Potassium (K),Carbon Emissions (kg),Water Pollution Risk (%),Soil Degradation (Index),Crop Type
39,7,24,4.73,21.2,3.2,Rice
50,24,22,6.64,17.9,2.8,Wheat
10,14,31,2.32,12.2,1.5,Cotton
43,6,33,5.26,16.3,2.0,Maize
39,26,33,5.86,18.6,2.8,Rice
36,14,39,5.08,21.5,4.5,Wheat
11,26,24,2.88,11.9,3.6,Cotton
23,8,36,3.42,12.3,4.0,Cotton
37,10,30,4.8,20.2,4.5,Cotton
13,17,35,2.85,17.1,1.6,Maize
29,14,19,3.98,20.4,1.6,Soybean
26,24,17,4.14,22.3,3.8,Maize
20,22,30,3.7,20.9,2.9,Wheat
40,25,22,5.69,24.1,4.1,Cotton
13,24,15,2.8,17.7,1.9,Cotton
12,16,23,2.46,16.2,4.1,Maize
50,9,12,5.69,23.9,2.1,Maize
22,17,28,3.61,20.2,2.9,Soybean
25,18,25,3.9,19.6,4.7,Soybean
33,13,40,4.75,15.9,2.1,Wheat
25,25,9,3.93,18.1,2.4,Cotton
50,18,39,6.68,17.4,4.6,Cotton
49,29,40,7.15,22.9,1.9,Soybean
17,7,7,2.19,16.5,1.5,Soybean
40,19,40,5.75,20.3,4.4,Wheat
34,17,28,4.81,17.3,3.4,Rice
42,17,38,5.81,17.1,3.6,Maize
35,10,37,4.74,18.4,4.8,Cotton
12,7,26,2.07,10.4,2.9,Wheat
41,26,14,5.68,20.6,1.0,Soybean
19,16,21,3.12,19.4,4.9,Maize
39,11,39,5.23,22.4,1.7,Maize
44,6,14,4.98,18.2,4.5,Wheat
29,18,5,3.9,17.3,3.2,Wheat
33,6,8,3.76,15.1,1.8,Rice
18,16,27,3.14,15.7,1.7,Rice
21,24,10,3.5,18.4,1.1,Soybean
33,15,32,4.69,21.5,1.5,Soybean
25,18,30,4.0,15.2,3.4,Soybean
32,10,8,3.86,13.6,2.7,Cotton
43,29,16,6.07,17.6,3.7,Cotton
26,12,29,3.78,14.0,4.7,Cotton
41,10,27,5.14,21.5,2.7,Soybean
26,27,39,4.73,16.0,3.7,Cotton
33,26,21,5.02,18.8,1.3,Cotton
15,7,28,2.41,12.6,1.9,Maize
20,22,12,3.34,15.6,2.1,Wheat
31,21,26,4.67,22.6,1.3,Wheat
28,17,13,3.91,15.5,3.4,Maize
34,6,31,4.32,22.2,1.8,Cotton
17,12,23,2.76,19.3,2.8,Soybean
18,18,15,3.0,13.0,2.0,Maize
44,20,29,5.98,21.9,2.1,Rice
38,25,19,5.43,19.1,1.3,Cotton
11,30,5,2.7,17.5,4.2,Soybean
45,8,26,5.42,19.3,1.9,Wheat
24,15,7,3.29,16.5,1.4,Cotton
35,21,14,4.83,20.8,2.7,Rice
27,5,6,3.07,18.0,2.0,Soybean
37,25,28,5.51,19.3,4.4,Rice
40,24,14,5.48,24.3,1.2,Rice
20,6,35,3.0,16.8,4.6,Rice
44,29,30,6.45,24.1,1.8,Wheat
37,30,10,5.4,18.0,1.9,Rice
47,14,19,5.78,24.7,4.4,Soybean
14,29,37,3.59,14.6,1.8,Maize
35,24,33,5.36,21.4,2.5,Wheat
18,18,14,2.98,17.0,1.1,Maize
12,13,30,2.45,13.7,3.1,Rice
34,25,29,5.23,17.3,2.2,Soybean
45,30,38,6.76,20.6,1.7,Maize
13,17,36,2.87,11.4,1.5,Cotton
12,28,39,3.38,17.1,1.0,Wheat
30,21,34,4.73,21.9,3.6,Soybean
38,11,26,4.87,19.9,2.8,Rice
28,20,7,3.94,22.4,3.4,Rice
30,26,40,5.1,22.6,3.1,Soybean
29,30,21,4.82,23.1,3.2,Soybean
37,19,12,4.89,18.5,4.8,Maize
37,9,11,4.37,18.6,5.0,Soybean
43,28,9,5.88,25.6,4.0,Cotton
10,14,17,2.04,17.6,4.1,Rice
25,29,12,4.19,19.2,4.6,Maize
20,29,38,4.21,17.2,3.5,Soybean
10,30,34,3.18,17.5,4.8,Rice
28,21,32,4.49,17.4,1.7,Maize
36,13,11,4.47,13.7,2.2,Cotton
34,5,17,3.99,14.4,1.0,Wheat
31,23,15,4.55,21.3,2.5,Wheat
14,6,12,1.94,12.2,3.8,Rice
49,7,34,5.93,21.3,3.0,Wheat
18,10,28,2.86,12.5,4.6,Soybean
31,27,6,4.57,16.9,4.9,Wheat
40,20,5,5.1,24.0,2.2,Soybean
18,5,30,2.65,18.3,2.4,Rice
11,16,38,2.66,10.6,2.0,Rice
27,20,40,4.5,15.7,3.2,Rice
23,14,40,3.8,16.4,1.7,Maize
44,8,35,5.5,20.8,1.9,Soybean
38,21,16,5.17,19.7,3.0,Wheat
28,17,16,3.97,15.7,3.5,Wheat
25,5,34,3.43,16.0,1.6,Wheat
16,28,25,3.5,18.5,4.3,Cotton
37,14,9,4.58,15.5,3.5,Rice
33,26,9,4.78,16.7,1.4,Soybean
50,15,22,6.19,24.4,4.1,Maize
31,26,14,4.68,19.1,1.4,Wheat
44,6,30,5.3,17.1,1.8,Wheat
11,19,40,2.85,17.4,2.5,Rice
41,15,22,5.29,18.9,4.3,Maize
17,10,32,2.84,11.3,1.8,Cotton
46,17,35,6.15,25.0,1.6,Soybean
27,26,33,4.66,20.2,5.0,Wheat
15,28,38,3.66,13.8,1.8,Rice
29,10,22,3.84,17.1,1.2,Cotton
34,16,34,4.88,13.8,3.9,Cotton
21,5,39,3.13,10.9,3.2,Cotton
29,9,31,3.97,20.3,3.9,Cotton
50,20,10,6.2,19.4,2.0,Wheat
26,28,32,4.64,14.7,1.9,Cotton
12,24,6,2.52,12.1,4.2,Cotton
13,27,36,3.37,12.3,4.9,Cotton
29,5,14,3.43,16.3,3.6,Cotton
19,6,40,3.0,9.8,4.3,Rice
45,21,6,5.67,17.0,2.7,Soybean
16,11,31,2.77,16.1,3.2,Soybean
44,30,20,6.3,23.3,4.4,Maize
26,9,13,3.31,15.7,3.2,Maize
43,25,28,6.11,20.4,3.2,Wheat
49,26,40,7.0,21.3,3.0,Rice
40,23,23,5.61,18.0,4.4,Wheat
43,25,36,6.27,18.5,4.4,Wheat
30,7,40,4.15,20.4,1.0,Rice
27,30,20,4.6,22.0,4.6,Soybean
37,15,37,5.19,21.7,4.5,Soybean
27,24,21,4.32,13.4,2.0,Maize
25,23,34,4.33,12.9,4.7,Soybean
20,12,18,2.96,16.1,1.7,Maize
36,13,26,4.77,19.4,1.2,Cotton
30,7,17,3.69,20.3,3.8,Maize
19,23,7,3.19,16.0,4.9,Cotton
39,14,15,4.9,20.9,3.7,Rice
44,14,17,5.44,20.1,4.1,Cotton
42,26,33,6.16,19.1,1.2,Maize
10,22,18,2.46,10.3,4.1,Rice
18,28,14,3.48,14.9,4.2,Cotton
27,12,23,3.76,15.0,1.7,Rice
25,12,11,3.32,18.4,4.3,Soybean
49,16,30,6.3,17.9,2.8,Soybean
44,13,16,5.37,17.5,4.3,Soybean
19,12,17,2.84,16.4,2.4,Soybean
26,20,26,4.12,17.4,1.7,Rice
42,18,11,5.32,20.1,4.8,Wheat
41,6,22,4.84,22.2,1.1,Maize
16,15,9,2.53,18.3,3.2,Soybean
34,10,32,4.54,13.9,4.8,Soybean
47,29,12,6.39,22.9,5.0,Cotton
38,29,24,5.73,23.5,2.2,Soybean
47,28,5,6.2,22.6,4.7,Cotton
42,25,21,5.87,16.1,4.0,Soybean
14,9,15,2.15,17.1,3.9,Cotton
16,8,28,2.56,15.6,2.3,Cotton
44,7,32,5.39,15.1,2.4,Wheat
28,8,26,3.72,13.1,2.8,Maize
42,5,32,5.09,21.8,2.6,Wheat
32,13,25,4.35,14.7,1.8,Wheat
26,6,30,3.5,13.5,4.7,Soybean
31,15,10,4.05,14.8,3.3,Cotton
35,26,37,5.54,19.1,1.8,Maize
19,7,7,2.39,15.2,2.8,Cotton
37,27,30,5.65,23.7,2.0,Wheat
38,8,12,4.44,20.1,3.5,Maize
21,13,28,3.31,16.1,3.4,Soybean
27,28,18,4.46,15.3,3.0,Cotton
32,28,28,5.16,24.2,3.6,Wheat
39,14,21,5.02,17.4,3.5,Soybean
37,20,29,5.28,18.5,4.6,Cotton
43,9,28,5.31,19.7,5.0,Rice
31,15,29,4.43,19.9,3.4,Maize
31,25,11,4.57,20.1,2.4,Rice
48,22,16,6.22,18.4,3.7,Maize
15,7,7,1.99,16.2,2.2,Soybean
11,29,32,3.19,14.8,4.4,Soybean
24,14,33,3.76,15.2,1.4,Maize
50,14,32,6.34,19.8,2.4,Rice
40,6,35,5.0,22.8,4.9,Wheat
47,18,32,6.24,20.8,2.5,Wheat
16,9,21,2.47,12.0,4.1,Soybean
27,9,23,3.61,11.7,3.5,Cotton
13,18,18,2.56,10.1,2.4,Soybean
14,29,19,3.23,19.0,1.3,Wheat
41,20,40,5.9,20.8,4.1,Maize
43,19,6,5.37,25.0,4.4,Cotton
39,18,36,5.52,15.0,1.9,Soybean
48,20,35,6.5,23.8,3.2,Maize
17,18,16,2.92,17.3,3.7,Soybean
28,21,23,4.31,14.6,4.3,Rice
22,19,8,3.31,12.3,2.3,Soybean
50,14,37,6.44,19.2,2.5,Wheat
13,18,20,2.6,14.4,2.3,Maize
18,27,7,3.29,15.1,3.5,Rice
36,22,26,5.22,23.4,2.0,Rice
46,16,13,5.66,20.5,1.3,Maize
10,11,24,2.03,13.3,2.4,Maize
25,22,30,4.2,14.3,1.5,Cotton
28,18,29,4.28,15.9,2.6,Maize
18,9,24,2.73,12.5,4.7,Soybean
41,30,30,6.2,19.0,1.4,Rice
48,9,13,5.51,22.7,1.2,Maize
37,8,7,4.24,23.0,3.5,Rice
18,12,27,2.94,17.3,3.7,Cotton
47,19,8,5.81,23.7,1.5,Wheat
36,24,33,5.46,23.7,1.1,Wheat
28,11,25,3.85,15.4,4.9,Soybean
36,8,36,4.72,20.5,4.4,Soybean
30,20,6,4.12,17.5,2.3,Maize
23,7,16,2.97,13.3,1.1,Rice
40,30,26,6.02,20.3,3.4,Maize
36,15,16,4.67,15.3,2.8,Maize
26,16,40,4.2,16.7,4.8,Maize
31,11,16,3.97,19.5,2.0,Wheat
18,13,39,3.23,17.5,2.9,Rice
20,17,20,3.25,18.0,4.3,Rice
10,10,17,1.84,11.5,4.7,Maize
21,5,11,2.57,11.6,4.4,Maize
16,17,13,2.71,15.9,1.5,Cotton
43,25,14,5.83,25.3,3.1,Wheat
36,26,8,5.06,16.3,3.3,Wheat
43,30,16,6.12,22.7,2.3,Soybean
11,10,38,2.36,17.8,1.6,Rice
14,29,12,3.09,15.2,3.9,Soybean
26,24,8,3.96,13.5,2.5,Rice
21,29,24,4.03,20.4,3.2,Cotton
39,27,24,5.73,15.9,2.1,Rice
20,7,18,2.71,16.0,4.1,Wheat
42,9,38,5.41,20.1,1.2,Cotton
28,28,5,4.3,20.1,1.1,Rice
29,5,36,3.87,16.9,1.0,Soybean
32,13,18,4.21,13.3,3.1,Maize
35,9,8,4.11,21.0,1.5,Maize
44,7,10,4.95,21.7,1.9,Cotton
31,10,39,4.38,19.7,3.6,Maize
50,10,7,5.64,20.6,1.6,Cotton
17,12,24,2.78,17.3,4.4,Wheat
29,23,10,4.25,19.2,4.4,Rice
33,30,38,5.56,19.9,2.2,Maize
45,9,35,5.65,18.3,2.7,Maize
33,14,39,4.78,16.6,2.1,Cotton
42,29,39,6.43,22.4,1.1,Maize
16,20,33,3.26,16.3,1.3,Soybean
16,16,7,2.54,17.0,4.9,Soybean
26,19,7,3.69,21.3,1.2,Rice
13,16,29,2.68,12.4,4.7,Rice
14,10,34,2.58,8.9,3.1,Maize
44,8,6,4.92,16.8,2.7,Cotton
48,6,39,5.88,20.6,3.6,Rice
23,21,6,3.47,20.8,4.7,Maize
48,18,23,6.16,19.0,2.3,Rice
19,12,9,2.68,19.1,1.4,Soybean
30,23,39,4.93,17.9,1.9,Maize
26,21,34,4.33,12.7,2.4,Cotton
12,27,18,2.91,18.2,2.6,Cotton
41,26,40,6.2,23.2,1.8,Wheat
14,26,8,2.86,19.9,3.2,Maize
42,19,6,5.27,18.2,4.2,Cotton
38,9,7,4.39,21.8,4.1,Rice
33,11,11,4.07,14.0,4.0,Wheat
47,23,26,6.37,22.8,2.1,Maize
22,18,33,3.76,20.4,3.7,Rice
30,15,37,4.49,21.0,3.5,Wheat
23,30,32,4.44,13.5,4.7,Wheat
33,28,21,5.12,22.0,4.3,Wheat
48,29,8,6.41,18.9,2.6,Wheat
17,30,8,3.36,19.6,1.2,Cotton
25,7,22,3.29,16.2,3.0,Maize
44,16,26,5.72,25.3,1.3,Maize
30,15,17,4.09,16.6,2.2,Rice
32,6,24,3.98,18.7,4.8,Soybean
40,29,16,5.77,22.2,4.7,Cotton
39,5,9,4.33,21.9,5.0,Soybean
34,27,36,5.47,18.7,1.4,Rice
45,22,36,6.32,17.2,2.3,Soybean
50,30,39,7.28,22.0,1.7,Maize
21,24,27,3.84,18.5,2.7,Rice
43,5,17,4.89,18.6,3.8,Cotton
11,12,29,2.28,17.1,3.8,Rice
42,19,5,5.25,22.7,2.9,Wheat
23,27,18,4.01,12.5,3.3,Soybean
33,22,28,4.96,18.3,4.8,Wheat
26,10,14,3.38,16.8,4.6,Maize
45,28,17,6.24,20.9,1.7,Soybean
41,14,37,5.54,17.5,3.0,Wheat
18,21,38,3.61,20.3,2.0,Cotton
25,10,6,3.12,12.6,2.6,Soybean
47,27,9,6.23,18.3,3.8,Wheat
29,29,9,4.53,21.2,1.3,Wheat
11,28,20,2.9,16.0,1.3,Cotton
19,24,27,3.64,12.3,4.7,Soybean
19,26,29,3.78,14.2,2.7,Maize
13,26,14,2.88,13.7,1.4,Maize
16,13,37,2.99,9.8,4.5,Rice
50,7,39,6.13,23.2,4.1,Maize
37,25,7,5.09,21.8,1.8,Soybean
35,13,22,4.59,14.5,3.1,Wheat
32,5,25,3.95,14.3,2.5,Cotton
38,21,40,5.65,14.8,2.7,Wheat
34,12,6,4.12,17.7,3.4,Rice
29,20,33,4.56,19.1,2.8,Wheat
40,11,21,4.97,23.5,4.1,Soybean
26,14,40,4.1,14.9,4.4,Cotton
20,15,18,3.11,16.9,2.4,Maize
33,21,26,4.87,18.6,2.4,Maize
12,6,12,1.74,17.5,2.1,Rice
47,20,5,5.8,25.2,4.3,Maize
41,18,26,5.52,18.7,1.5,Rice
48,7,40,5.95,24.2,1.4,Maize
37,20,27,5.24,16.8,2.2,Rice
35,16,38,5.06,16.3,3.5,Rice
28,15,6,3.67,20.1,4.1,Cotton
34,7,34,4.43,13.3,4.4,Maize
21,21,17,3.49,18.4,2.4,Maize
41,12,19,5.08,19.5,3.6,Soybean
17,14,18,2.76,16.6,2.5,Wheat
27,21,29,4.33,22.1,1.3,Cotton
26,21,6,3.77,20.8,4.1,Maize
13,7,11,1.87,9.4,3.0,Wheat
24,28,9,3.98,21.2,4.4,Wheat
30,22,27,4.64,19.0,1.7,Cotton
48,7,27,5.69,19.7,4.0,Cotton
32,22,29,4.88,22.6,2.9,Maize
40,28,37,6.14,16.5,4.4,Maize
31,15,11,4.07,18.9,4.9,Wheat
29,23,18,4.41,17.8,5.0,Cotton
30,16,40,4.6,20.3,2.3,Cotton
22,21,21,3.67,20.2,2.7,Soybean
43,12,29,5.48,21.5,2.4,Cotton
40,25,7,5.39,16.3,2.0,Rice
40,28,27,5.94,19.3,3.9,Maize
33,14,24,4.48,21.5,1.5,Rice
25,9,39,3.73,12.2,4.2,Soybean
33,17,21,4.57,20.4,2.0,Soybean
42,21,28,5.81,22.8,3.6,Maize
36,13,9,4.43,22.0,1.1,Rice
24,24,11,3.82,19.4,3.4,Soybean
43,5,16,4.87,15.4,3.7,Soybean
18,27,19,3.53,12.6,3.7,Soybean
12,13,26,2.37,9.8,3.5,Maize
17,13,26,2.87,18.1,3.2,Wheat
29,27,5,4.35,21.5,2.5,Wheat
10,13,30,2.25,16.6,4.6,Rice
45,28,9,6.08,26.3,3.3,Maize
24,22,11,3.72,19.2,1.7,Maize
44,21,9,5.63,20.9,4.9,Cotton
38,9,24,4.73,21.7,2.8,Cotton
46,21,34,6.33,18.8,3.1,Rice
14,6,17,2.04,18.4,1.5,Maize
10,16,17,2.14,16.6,2.5,Wheat
18,20,5,2.9,14.7,3.0,Wheat
21,15,8,3.01,17.3,1.1,Soybean
40,13,35,5.35,14.4,5.0,Maize
23,9,27,3.29,13.9,4.9,Maize
16,6,7,2.04,9.5,2.3,Maize
47,6,21,5.42,18.4,1.8,Cotton
50,26,21,6.72,26.5,4.6,Cotton
21,27,23,3.91,14.4,1.3,Wheat
17,27,9,3.23,14.0,3.5,Wheat
48,5,8,5.21,20.8,4.4,Wheat
30,13,18,4.01,17.0,2.2,Rice
35,8,33,4.56,20.4,3.0,Maize
32,23,35,5.05,22.8,4.7,Wheat
43,16,18,5.46,15.3,1.6,Cotton
28,18,32,4.34,20.1,3.1,Maize
39,5,13,4.41,18.5,4.1,Cotton
42,18,18,5.46,22.5,3.4,Rice
28,7,8,3.31,15.6,4.0,Wheat
37,28,21,5.52,16.3,2.2,Wheat
26,28,9,4.18,13.8,2.1,Soybean
33,9,31,4.37,16.6,3.6,Wheat
44,17,22,5.69,23.9,2.4,Rice
25,13,10,3.35,18.6,4.5,Wheat
10,7,33,2.01,8.8,1.7,Rice
21,11,19,3.03,19.3,4.8,Cotton
41,25,21,5.77,23.9,3.3,Rice
50,22,6,6.22,17.7,1.8,Wheat
31,22,35,4.9,22.3,4.6,Maize
17,6,15,2.3,15.7,2.5,Rice
10,5,10,1.45,8.1,2.4,Rice
24,13,8,3.21,20.9,3.9,Cotton
33,6,32,4.24,15.9,4.0,Soybean
36,12,25,4.7,17.6,4.7,Maize
30,5,11,3.47,14.5,3.5,Cotton
33,7,13,3.91,21.3,4.8,Cotton
14,7,22,2.19,9.0,3.0,Soybean
17,7,37,2.79,18.6,1.8,Maize
23,9,17,3.09,14.6,1.9,Rice
35,30,9,5.18,15.7,3.7,Rice
37,22,30,5.4,22.0,1.3,Wheat
15,16,34,2.98,9.7,4.1,Cotton
23,23,28,4.01,19.2,2.0,Maize
46,28,24,6.48,20.1,1.7,Rice
41,19,6,5.17,16.9,4.4,Rice
46,29,14,6.33,21.2,4.8,Soybean
18,22,30,3.5,13.7,2.7,Cotton
19,19,35,3.55,18.9,1.4,Rice
50,25,10,6.45,21.9,3.9,Wheat
50,12,18,5.96,17.6,1.8,Cotton
37,20,27,5.24,23.4,4.7,Wheat
45,16,36,6.02,24.9,1.6,Rice
43,19,40,6.05,21.0,3.9,Soybean
25,15,20,3.65,18.2,3.2,Wheat
21,21,9,3.33,12.9,4.9,Cotton
22,11,32,3.39,18.2,4.5,Soybean
10,22,39,2.88,12.0,2.3,Cotton
48,19,8,5.91,17.3,2.9,Cotton
10,13,17,1.99,16.8,1.8,Maize
26,7,29,3.53,12.7,1.6,Soybean
44,17,22,5.69,24.7,4.8,Soybean
46,18,30,6.1,24.9,1.5,Maize
28,29,32,4.89,13.8,3.0,Wheat
25,30,38,4.76,21.2,1.8,Soybean
30,20,32,4.64,13.5,2.8,Rice
18,30,19,3.68,14.6,2.8,Maize
44,11,35,5.65,18.1,2.2,Cotton
30,8,39,4.18,21.7,4.2,Maize
49,25,15,6.45,18.5,4.2,Soybean
38,25,34,5.73,22.1,1.9,Cotton
25,14,14,3.48,14.1,3.9,Wheat
44,15,38,5.91,22.0,4.2,Maize
23,10,8,2.96,19.6,2.2,Wheat
48,22,5,6.0,20.4,3.7,Maize
30,25,35,4.95,21.8,1.2,Cotton
42,25,32,6.09,16.5,1.0,Rice
30,27,22,4.79,19.1,1.3,Wheat
33,25,31,5.17,15.8,2.0,Cotton
14,21,27,2.99,12.0,1.4,Cotton
11,28,8,2.66,17.1,3.1,Maize
49,14,27,6.14,21.5,1.6,Wheat
12,29,12,2.89,10.8,4.4,Wheat
27,20,19,4.08,18.7,2.1,Soybean
43,23,15,5.75,20.1,1.2,Soybean
30,12,6,3.72,12.4,3.0,Cotton
14,9,23,2.31,16.1,4.2,Soybean
28,20,10,4.0,21.6,2.0,Cotton
46,13,10,5.45,20.6,4.6,Cotton
14,14,10,2.3,9.7,3.1,Maize
48,5,12,5.29,19.7,4.6,Wheat
15,24,39,3.48,13.3,2.2,Rice
45,18,27,5.94,24.0,4.0,Soybean
11,18,37,2.74,18.1,2.3,Maize
32,30,14,4.98,22.1,2.8,Soybean
20,15,28,3.31,11.4,4.0,Rice
34,12,6,4.12,19.1,3.3,Wheat
16,26,7,3.04,13.1,2.9,Rice
49,15,18,6.01,17.7,5.0,Soybean
42,6,7,4.64,16.0,2.4,Soybean
11,9,40,2.35,12.8,3.2,Wheat
27,30,40,5.0,20.4,2.4,Rice
15,28,5,3.0,15.6,3.5,Wheat
42,6,16,4.82,21.0,2.1,Cotton
13,15,16,2.37,12.5,1.1,Maize
42,12,26,5.32,15.5,2.4,Soybean
22,28,20,4.0,20.5,1.1,Rice
12,23,6,2.47,19.0,3.6,Soybean
11,23,30,2.85,18.3,1.1,Wheat
11,14,10,2.0,9.9,3.1,Soybean
20,7,31,2.97,18.8,2.5,Soybean
12,23,28,2.91,19.5,2.5,Soybean
36,7,35,4.65,19.4,1.0,Maize
49,21,28,6.51,25.7,4.7,Wheat
33,5,31,4.17,21.7,3.8,Rice
29,18,30,4.4,19.2,2.8,Soybean
25,24,29,4.28,13.2,5.0,Rice
31,22,18,4.56,19.1,4.1,Wheat
32,12,6,3.92,14.8,2.1,Cotton
45,14,16,5.52,22.9,3.2,Soybean
26,16,27,3.94,16.2,3.8,Soybean
28,28,40,5.0,16.1,3.9,Cotton
48,24,14,6.28,24.7,4.1,Rice
11,25,12,2.59,15.1,4.1,Rice
45,22,19,5.98,24.6,1.2,Cotton
29,23,26,4.57,18.7,2.6,Cotton
23,22,34,4.08,15.1,1.0,Cotton
36,22,33,5.36,23.9,2.6,Soybean
19,22,13,3.26,20.5,1.1,Rice
35,27,21,5.27,14.7,4.0,Cotton
31,24,20,4.7,14.4,1.2,Soybean
19,12,6,2.62,11.5,3.5,Soybean
14,24,25,3.1,17.4,1.3,Maize
45,23,13,5.91,20.8,4.9,Wheat
14,22,13,2.76,19.9,4.5,Maize
43,20,14,5.58,25.1,4.0,Rice
19,25,6,3.27,14.0,1.3,Wheat
17,22,27,3.34,18.9,2.9,Rice
26,5,7,2.99,20.6,4.7,Rice
44,23,34,6.23,18.8,3.4,Maize
33,16,34,4.78,21.7,3.7,Cotton
48,15,9,5.73,17.7,1.9,Rice
11,8,23,1.96,8.6,1.9,Wheat
37,13,33,5.01,18.6,3.3,Soybean
40,11,6,4.67,17.3,1.5,Rice
28,15,9,3.73,14.0,2.4,Wheat
39,13,26,5.07,15.3,1.2,Wheat
19,17,39,3.53,19.0,2.3,Maize
44,6,20,5.1,23.0,3.8,Cotton
34,25,25,5.15,17.8,1.8,Rice
44,17,40,6.05,16.6,3.9,Cotton
11,28,20,2.9,13.8,2.2,Soybean
49,24,15,6.4,18.1,1.3,Maize
18,25,36,3.77,18.8,1.6,Cotton
41,24,11,5.52,25.4,2.9,Cotton
42,26,33,6.16,25.2,5.0,Maize
29,26,10,4.4,17.5,1.2,Rice
35,21,28,5.11,23.4,1.3,Cotton
30,20,40,4.8,21.4,1.3,Maize
13,24,29,3.08,14.2,4.0,Maize
18,30,17,3.64,17.0,2.1,Cotton
34,29,40,5.65,19.1,1.4,Maize
24,29,37,4.59,14.6,1.9,Soybean
35,30,23,5.46,16.9,5.0,Maize
13,12,16,2.22,14.2,3.5,Rice
12,8,35,2.3,11.7,4.8,Maize
16,26,21,3.32,13.3,2.7,Soybean
47,10,35,5.9,16.7,4.1,Soybean
20,19,29,3.53,16.3,4.3,Maize
47,17,16,5.87,23.4,2.7,Wheat
44,9,37,5.59,16.7,3.2,Wheat
28,25,29,4.63,17.4,3.1,Wheat
16,24,36,3.52,13.3,1.9,Cotton
40,26,10,5.5,23.7,1.9,Soybean
30,26,36,5.02,19.0,1.0,Rice
45,20,14,5.78,16.3,1.1,Maize
40,27,25,5.85,18.2,2.2,Wheat
25,29,39,4.73,21.4,3.7,Soybean
26,18,28,4.06,21.4,1.9,Cotton
21,23,25,3.75,17.5,2.9,Maize
48,25,14,6.33,24.0,1.6,Wheat
37,12,17,4.64,15.4,1.2,Cotton
20,8,27,2.94,15.3,4.0,Maize
36,19,28,5.11,15.6,2.9,Maize
28,9,17,3.59,15.8,1.8,Soybean
25,25,33,4.41,13.3,2.7,Rice
29,9,38,4.11,18.4,1.2,Rice
35,29,26,5.47,20.7,3.8,Cotton
38,27,37,5.89,21.2,4.3,Rice
19,19,29,3.43,19.1,2.9,Soybean
46,17,9,5.63,20.0,2.9,Rice
23,6,33,3.26,11.2,4.9,Cotton
14,9,21,2.27,9.1,3.6,Soybean
32,22,39,5.08,14.5,1.1,Rice
22,12,15,3.1,19.7,2.7,Soybean
25,7,15,3.15,11.8,3.0,Rice
23,26,22,4.04,19.6,3.5,Soybean
17,26,5,3.1,12.6,3.4,Maize
45,20,27,6.04,25.1,3.0,Maize
30,18,32,4.54,13.3,3.1,Cotton
47,19,19,6.03,17.5,4.0,Wheat
26,6,21,3.32,17.1,1.9,Soybean
47,12,23,5.76,20.2,2.7,Cotton
27,7,16,3.37,17.2,4.1,Rice
11,8,15,1.8,11.7,3.8,Cotton
13,21,28,2.91,13.3,1.4,Maize
24,18,23,3.76,19.4,4.2,Wheat
15,5,9,1.93,9.5,3.9,Maize
49,12,6,5.62,19.3,2.6,Maize
14,30,30,3.5,15.0,4.6,Soybean
21,20,26,3.62,17.4,4.4,Cotton
16,26,39,3.68,19.4,2.2,Rice
23,22,36,4.12,15.9,4.4,Soybean
18,21,19,3.23,13.3,3.5,Soybean
49,14,11,5.82,19.0,4.9,Wheat
33,5,11,3.77,16.2,3.9,Soybean
35,12,40,4.9,18.3,2.7,Wheat
11,8,27,2.04,15.9,2.8,Maize
22,8,30,3.2,18.3,3.7,Soybean
20,24,23,3.66,14.5,2.5,Maize
33,21,38,5.11,23.5,2.4,Maize
34,13,12,4.29,19.8,1.8,Cotton
12,23,5,2.45,18.2,1.8,Soybean
27,16,7,3.64,14.1,2.6,Rice
32,18,23,4.56,20.0,2.4,Maize
26,15,33,4.01,19.9,2.9,Maize
12,24,18,2.76,11.4,4.7,Wheat
40,9,11,4.67,15.8,3.6,Wheat
24,22,9,3.68,19.1,4.6,Rice
45,20,14,5.78,18.0,3.0,Wheat
25,15,11,3.47,13.3,3.7,Maize
49,20,19,6.28,23.4,2.0,Maize
32,15,6,4.07,13.1,1.1,Cotton
24,23,30,4.15,21.8,3.6,Rice
34,7,31,4.37,18.4,3.1,Cotton
43,10,27,5.34,16.7,3.9,Maize
35,14,34,4.88,19.3,3.6,Maize
42,22,9,5.48,20.6,3.5,Rice
31,23,27,4.79,16.2,2.8,Soybean
22,10,24,3.18,17.7,1.9,Maize
14,16,22,2.64,15.4,4.8,Maize
29,6,10,3.4,14.6,1.8,Wheat
33,12,38,4.66,16.4,4.6,Wheat
15,23,10,2.85,19.9,4.8,Wheat
11,30,30,3.2,14.0,3.9,Soybean
23,24,6,3.62,16.0,3.5,Maize
16,13,16,2.57,10.5,4.7,Wheat
20,16,12,3.04,19.1,3.2,Soybean
11,8,37,2.24,13.9,4.1,Soybean
14,28,36,3.52,20.4,3.3,Soybean
46,11,18,5.51,21.6,3.5,Cotton
19,25,35,3.85,15.6,1.7,Maize
11,16,31,2.52,9.5,3.1,Wheat
18,28,32,3.84,16.1,3.2,Maize
38,17,33,5.31,16.5,3.5,Cotton
39,14,35,5.3,19.8,1.8,Cotton
17,28,26,3.62,14.0,3.3,Soybean
29,30,15,4.7,22.7,1.1,Rice
40,16,27,5.34,21.7,4.1,Maize
25,8,30,3.5,11.3,3.8,Rice
36,9,25,4.55,14.2,3.4,Rice
